probeset_id	transcript_id	logFC	AveExpr	t	P.Value	adj.P.Val	B	qvalues
13358894	AT1G73875	-0.124834618730207	4.81833133910232	-0.758097793958288	0.464220989216009	0.87476074813921	-5.75405879527346	0.743657493536899
13427376	AT3G12890	-0.136261092601157	1.92633730202095	-0.758042939782519	0.464252518489956	0.874762125691271	-5.75409939483614	0.743658664630726
13459505	AT3G53560	0.103320464705822	6.29267869214602	0.757959711859141	0.464300359120375	0.87479423549559	-5.75416098981272	0.743685962033643
13341112	AT1G16980	-0.11829744816627	1.34923227709677	-0.757740492852349	0.464426384390357	0.874859272196782	-5.75432319951699	0.743741251471697
13456292	AT3G45240;AT3G45242	-0.0898487889968145	8.2679261626849	-0.757635726273289	0.464486620574721	0.874859272196782	-5.75440070603626	0.743741251471697
13393571	AT2G16990	0.122192320694513	4.52441817685359	0.757564138816844	0.464527783070345	0.874859272196782	-5.75445366105536	0.743741251471697
13392661	AT2G13500	-0.11634534478743	1.20496692907419	-0.757557625546105	0.464531528289317	0.874859272196782	-5.754458478861	0.743741251471697
13462018	AT3G59370	-0.152821088097433	1.25145973807688	-0.757531944064488	0.464546295676068	0.874859272196782	-5.75447747485197	0.743741251471697
13392311	AT2G07718;ATMG00590;AT2G07727	0.134582865487783	8.23631123394796	0.75752465142829	0.464550489148043	0.874859272196782	-5.75448286893915	0.743741251471697
13545173	AT2G07718;ATMG00590;AT2G07727	0.134582865487783	8.23631123394796	0.75752465142829	0.464550489148043	0.874859272196782	-5.75448286893915	0.743741251471697
13356961	AT1G69390	-0.0936493410803809	6.83527938017914	-0.757330788756987	0.464661974468449	0.874950006333713	-5.75462624477096	0.743818386986741
13438551	AT3G52430	0.102954819422919	4.20837155471334	0.757308119424398	0.464675012113189	0.874950006333713	-5.75464300827796	0.743818386986741
13337762	AT1G08970	0.149883630863077	4.13854080592091	0.757280175643497	0.46469108353146	0.874950006333713	-5.75466367151287	0.743818386986741
13531012	AT5G25810	-0.172821619008323	1.86422811199339	-0.756988765055883	0.464858704674047	0.875207595708402	-5.75487911651812	0.74403737059929
13483617	AT4G12480	0.349208564128753	2.46920634003616	0.75690809858218	0.464905111295367	0.875236950760411	-5.75493874154178	0.744062326113636
13514326	AT5G53140	0.0895141864764391	8.50881000842017	0.756570850520494	0.465099158567397	0.875458707493742	-5.75518795846385	0.744250847439992
13379635	AT1G54690;AT1G54680	0.129016821189989	6.32526709070718	0.756433987046687	0.465177922319023	0.875458707493742	-5.75528906837084	0.744250847439992
13405853	AT2G46520	0.134418554019771	6.69799508135475	0.756384999466407	0.465206116304592	0.875458707493742	-5.75532525468399	0.744250847439992
13534464	AT5G42140	-0.0984288433638731	4.42949063634853	-0.756368778947611	0.465215451992597	0.875458707493742	-5.75533723604946	0.744250847439992
13430890	AT3G20130	-0.214503582103793	1.59946073504503	-0.756320410779757	0.465243290902387	0.875458707493742	-5.75537296206613	0.744250847439992
13475491	AT4G30170	-0.123562100588127	1.3376745131711	-0.756284611341897	0.465263896400857	0.875458707493742	-5.7553994031658	0.744250847439992
13391729	AT2G04880;AT2G04890	-0.0980105517105532	7.02659724306713	-0.756262410839492	0.465276674892575	0.875458707493742	-5.75541579966705	0.744250847439992
