probeset_id	transcript_id	logFC	AveExpr	t	P.Value	adj.P.Val	B	qvalues
13448654	AT3G13010	0.0693368300956203	1.16741492644528	0.436482193114393	0.670721112747175	0.873580119928654	-6.32108973036833	0.615314853643173
13438942	AT3G53480	-0.0671985573865068	1.4877488381262	-0.436452269241059	0.670742184041142	0.873580119928654	-6.32110334398553	0.615314853643173
13364194	AT1G06400	0.0730654649420108	5.89238153124449	0.436436218615354	0.670753486424407	0.873580119928654	-6.32111064571267	0.615314853643173
13480077	AT4G00500;AT4G00490	-0.0987759533330035	3.67568907335007	-0.43635117027373	0.67081337640457	0.873580119928654	-6.32114933145126	0.615314853643173
13525821	AT5G13890	-0.0625161952103799	3.79328018294112	-0.436289187666661	0.670857025281468	0.873580119928654	-6.32117752074576	0.615314853643173
13424602	AT3G05410	-0.0590102620760611	6.04968215439433	-0.436258506199768	0.670878631996915	0.873580119928654	-6.32119147305001	0.615314853643173
13372798	AT1G27008	0.0759546548162868	1.80379124435134	0.436234654376576	0.670895429307206	0.873580119928654	-6.32120231893964	0.615314853643173
13470315	AT4G18330	0.0693112512747514	1.16372044160815	0.436194838008737	0.670923469839919	0.873580119928654	-6.32122042294315	0.615314853643173
13438596	AT3G52610;AT3G52605	-0.0671058627006271	5.7302645030962	-0.436173352370542	0.670938601239311	0.873580119928654	-6.32123019153051	0.615314853643173
13342410	AT1G19950	0.0988901507016937	6.07802925609305	0.436147218413592	0.670957006451822	0.873580119928654	-6.32124207288019	0.615314853643173
13357481	AT1G70610	0.0675831007431409	7.40364187211599	0.436146628681545	0.670957421781632	0.873580119928654	-6.32124234098369	0.615314853643173
13379688	AT1G55030	-0.083029969530289	1.25344932171661	-0.4361056236594	0.670986300614847	0.873580119928654	-6.32126098179457	0.615314853643173
13357222	AT1G70030	-0.0734976171554416	1.22606105768245	-0.435939891504404	0.671103027346908	0.873626573925419	-6.3213363060907	0.615347573978227
13435387	AT3G44310	0.0639166932408237	9.47548893446399	0.4359114928392	0.671123029702949	0.873626573925419	-6.32134921034251	0.615347573978227
13533636	AT5G39770	0.0841911499517032	1.46164329696309	0.435848660533662	0.67116728604005	0.873626573925419	-6.32137775823121	0.615347573978227
13439314	AT3G54320	-0.0751789552870878	4.61661810581344	-0.435847870281582	0.67116784266743	0.873626573925419	-6.32137811725731	0.615347573978227
13542699	ath-MIR420	0.0625751713447944	1.16422902828443	0.435825797208372	0.671183390291738	0.873626573925419	-6.32138814520776	0.615347573978227
13434680	AT3G29810	0.0924868670949226	3.35507128429049	0.435792944790207	0.671206530866475	0.873626573925419	-6.32140306938099	0.615347573978227
13452868	AT3G23440	0.0644933849739466	4.15429243218544	0.435711616236826	0.671263818570115	0.873661102453694	-6.3214400105831	0.615371894490837
13536006	AT5G45960	-0.0841366529214271	4.50401061736285	-0.435622599123575	0.671326524574414	0.873702679503624	-6.32148043646192	0.615401179699838
13522214	AT5G05113	-0.0760369921541506	1.23776852419434	-0.435435625079911	0.671458242502571	0.87383406468731	-6.32156532213009	0.615493722161859
13452019	AT3G21070	-0.064682780211359	6.90514698041291	-0.435378004646266	0.67149883678377	0.873846855180492	-6.32159147454176	0.615502731273057
13537378	AT5G49350	-0.0734478995700065	1.32015956442267	-0.435280229769129	0.671567722843006	0.873891683558016	-6.32163584435723	0.615534306587016
13426974	AT3G11825	-0.074671236614789	1.131103277487	-0.435040035127107	0.671736962281377	0.873891683558016	-6.32174480276733	0.615534306587016
13386129	AT1G71710	-0.0896857335367338	4.77184032901986	-0.435038648006299	0.671737939691843	0.873891683558016	-6.32174543183193	0.615534306587016
13382260	AT1G62300	0.102021394391394	5.58227824454016	0.434971593902413	0.671785188948821	0.873891683558016	-6.32177583881379	0.615534306587016
13490807	AT4G28390	-0.0811999169960842	2.38175125741605	-0.434967255538905	0.67178824600049	0.873891683558016	-6.32177780597276	0.615534306587016
13462403	AT3G60238	0.0623485347311563	1.24543568081567	0.434953498435553	0.671797940059753	0.873891683558016	-6.32178404377771	0.615534306587016
