probeset_id	transcript_id	logFC	AveExpr	t	P.Value	adj.P.Val	B	qvalues
13389461	AT1G79350	0.542665039468706	5.34876830265354	2.71246448725784	0.0196722566669144	0.309633058610359	-3.3756825446897	0.268159333394891
13506095	AT5G26600	-0.447098619978323	5.08677843614602	-2.71191169835904	0.0196919679897093	0.309633058610359	-3.37662440357389	0.268159333394891
13453509	AT3G25010	-0.795048041916193	1.81568912198679	-2.7118833229071	0.0196929803272643	0.309633058610359	-3.37667274963802	0.268159333394891
13452053	AT3G21110	0.39413469914148	6.25131863745358	2.71164161440483	0.0197016057338224	0.309633058610359	-3.37708456870983	0.268159333394891
13490738	AT4G28180	0.511546519255729	3.39598676571273	2.71141295172458	0.0197097690373386	0.309633058610359	-3.37747415456679	0.268159333394891
13414925	AT2G30460	0.46344582248968	5.16764245482056	2.70738775150712	0.0198540184102672	0.311592716770653	-3.38433117029962	0.269856505616438
13408705	AT2G13640	-0.533285387607727	1.1809457543821	-2.70732008088417	0.0198564523942852	0.311592716770653	-3.38444643323234	0.269856505616438
13445595	AT3G06550	-0.361260775588434	8.54406008954924	-2.70661241636287	0.0198819234268028	0.311820138647973	-3.38565176291268	0.270053465525355
13498350	AT5G06350	0.513935641276165	5.61877755224621	2.7056454784905	0.0199167787404953	0.31219440759729	-3.38729860921706	0.270377603110695
13354410	AT1G62570	-0.365208244079657	2.08840375530629	-2.70346719257849	0.0199955211349346	0.313255811801185	-3.39100818539202	0.271296837784978
13529921	AT5G23580	-0.38942715608802	4.5909941897184	-2.70126930561702	0.0200752839765205	0.314181336094332	-3.39475059870834	0.272098392950324
13528693	AT5G20450	-0.500705948257944	3.35302977078886	-2.70122976938398	0.0200767216495163	0.314181336094332	-3.39481791332071	0.272098392950324
13543856	AT5G65590	-0.448427911061754	2.35592320918415	-2.70003679551149	0.0201201501626356	0.314687568870782	-3.39684899379258	0.272536818499859
13528127	AT5G19110	0.94301753345946	2.94135317317042	2.69951310506009	0.0201392436787032	0.314743523350907	-3.39774054427137	0.272585278170665
13338521	AT1G10710	0.543727093299947	1.41086978122629	2.69933091577875	0.0201458904148135	0.314743523350907	-3.3980507028827	0.272585278170665
13435621	AT3G44805	-0.651667540699753	1.44983640950387	-2.69819416050176	0.0201874111761475	0.315218823329366	-3.39998582687366	0.272996914208361
13537205	AT5G48850	0.47946653358659	2.35297879009231	2.69776982129874	0.0202029321208906	0.315287846719591	-3.40070815115422	0.273056692277261
13414972	AT2G30490	-0.353440817101842	6.92185690734068	-2.69730221511195	0.0202200492879655	0.315381691337773	-3.40150410205685	0.273137966900738
13401669	AT2G36790;AT2G36792	-0.51945440777229	5.22281629362418	-2.69633060713502	0.0202556617547872	0.315679432585794	-3.40315787564493	0.273395827269239
13505359	AT5G24530	-0.541267620498699	4.80389048785631	-2.69589753976019	0.0202715549882162	0.315679432585794	-3.40389496454254	0.273395827269239
13413714	AT2G27285	-0.503512074977724	4.21309597014713	-2.69587231073866	0.0202724812532651	0.315679432585794	-3.4039379041518	0.273395827269239
13423094	AT3G02030	0.42887530473846	3.18399855902348	2.69469541154163	0.0203157367516963	0.31579303053857	-3.4059408965113	0.273494209371681
13421209	AT2G44320;AT4G28915;AT5G10455;AT1G77190;AT3G20885;AT4G24565;AT2G42020;AT5G06685;AT3G60075	0.562270091968323	4.48134497513311	2.69433996480456	0.0203288186841733	0.31579303053857	-3.40654580826731	0.273494209371681
13474996	AT2G44320;AT4G28915;AT5G10455;AT1G77190;AT3G20885;AT4G24565;AT2G42020;AT5G06685;AT3G60075	0.562270091968323	4.48134497513311	2.69433996480456	0.0203288186841733	0.31579303053857	-3.40654580826731	0.273494209371681
13524373	AT2G44320;AT4G28915;AT5G10455;AT1G77190;AT3G20885;AT4G24565;AT2G42020;AT5G06685;AT3G60075	0.562270091968323	4.48134497513311	2.69433996480456	0.0203288186841733	0.31579303053857	-3.40654580826731	0.273494209371681
13439635	AT3G55200;AT3G55220	0.402733429103933	5.1442393311113	2.6941621037041	0.0203353678433632	0.31579303053857	-3.4068484930689	0.273494209371681
13406995	AT2G01830	0.526925356020187	4.54680494187956	2.69362831322863	0.0203550354673528	0.315925722611597	-3.40775687810487	0.27360912803705
13454428	AT3G27460	-0.431070167244624	5.88077068919963	-2.69293704940908	0.0203805331582761	0.31614870742464	-3.4089331965356	0.273802245203192
13529025	AT5G21030	-0.515707572041214	1.67633459787523	-2.69241631774887	0.0203997615003349	0.316274249942146	-3.40981928513605	0.273910971958527
13517836	AT5G61228;AT5G61230	-0.411767060034713	7.22357917884031	-2.69111711928564	0.0204478133824878	0.316778825150631	-3.41202989303315	0.274347961962637
13400241	AT2G33430	0.407407001424676	8.49497712738974	2.69093352618391	0.0204546127284532	0.316778825150631	-3.41234226394604	0.274347961962637
13541522	AT5G59850	0.59898073587212	6.40595900610549	2.69046901948584	0.0204718256466287	0.3168726233467	-3.41313257231572	0.274429196381999
13426144	AT3G09650	0.525873465026503	4.8913734427057	2.68913276153456	0.0205214222945375	0.317117794132611	-3.41540593177271	0.274641527826235
13491270	AT4G29900	-0.428808124107373	6.04272174737195	-2.6889805661541	0.0205270787121733	0.317117794132611	-3.41566484670468	0.274641527826235
13470471	AT4G18630	0.482321535622294	3.16144652959079	2.68870503514128	0.0205373228779657	0.317117794132611	-3.41613357344733	0.274641527826235
13335639	AT1G04170	0.510343158982811	7.43763545427247	2.68860138810627	0.0205411777524566	0.317117794132611	-3.41630989299604	0.274641527826235
13359175	AT1G74650	0.587407498941033	3.01062842162441	2.68853923229286	0.0205434898145972	0.317117794132611	-3.41641562899207	0.274641527826235
13516708	AT5G58412	0.523412015652774	1.89534948530727	2.68763499721611	0.0205771544896525	0.317430163392523	-3.41795381200432	0.274912056861109
13505117	AT5G23890	0.495096946833123	6.4723423009252	2.68739556795165	0.0205860775611388	0.317430163392523	-3.41836108609205	0.274912056861109
13442232	AT3G61430	-0.524496431233366	5.66085418022961	-2.68702156478208	0.0206000235921551	0.31747285409006	-3.41899725968951	0.274949029363481
13340615	AT1G15950	-0.392858447900178	7.48028922993724	-2.68600371038362	0.0206380251580912	0.317790897861285	-3.42072853101833	0.275224472838622
13380655	AT1G57980	-0.771788979671616	2.79728847090415	-2.68586958357725	0.0206430379380372	0.317790897861285	-3.42095665858117	0.275224472838622
