probeset_id	transcript_id	logFC	AveExpr	t	P.Value	adj.P.Val	B	qvalues
13455325	AT3G30390	-0.182991081583708	9.75144631782076	-1.19382018183948	0.256673386685435	0.694578334796723	-5.66461604822333	0.554905933354389
13528266	AT5G19450	0.263473642491384	6.20340474173699	1.19374717463122	0.256700847542765	0.694586469730127	-5.66469762984008	0.554912432438202
13419578	AT2G40815	0.320169466476626	5.94412176770164	1.19365789323862	0.256734432901113	0.694611173336856	-5.66479739174633	0.554932168409312
13426667	AT3G10974	-0.210679527608064	1.47129603582329	-1.19359243580225	0.256759058500446	0.69461163335443	-5.66487052940454	0.554932535922188
13384372	AT1G67260	-0.212655151152674	2.09462056400777	-1.19351842009513	0.256786906029608	0.694620808757996	-5.66495322575948	0.554939866248553
13475545	AT4G30350	0.251387198094227	4.33993883517686	1.19337651735277	0.256840301901064	0.694651000774803	-5.66511175995103	0.55496398696817
13386385	AT1G72430	-0.216307629316578	8.22540348649507	-1.19335876805778	0.256846981309615	0.694651000774803	-5.66513158849565	0.55496398696817
13510903	AT5G45470	0.34023271866787	4.0211735607897	1.19315670459146	0.256923031408816	0.694790522812968	-5.66535730673551	0.555075452591172
13393931	AT2G17760	-0.197490053629306	5.84118834178437	-1.19304530770688	0.256964965146732	0.694837767047089	-5.66548173179727	0.555113196506461
13355099	AT1G64490	-0.37113406730809	3.53571882963223	-1.19272216433622	0.257086638269664	0.695100598455334	-5.66584261694474	0.555323175281497
13514897	AT5G54340	-0.20286287500342	1.40188190554779	-1.1926030013172	0.257131518151309	0.695155769089248	-5.66597567865047	0.555367251680906
13411763	AT2G22690	0.194690116299002	3.66274532558683	1.19234772402038	0.257227682963237	0.695349564976188	-5.66626069589444	0.555522077252243
13535836	AT5G45530	-0.20754144072089	1.57955750921708	-1.1920346254403	0.257345668136654	0.695559189440317	-5.66661020629734	0.555689548440292
13426859	AT3G11480	0.20515007062296	1.14773901560277	1.19200135759826	0.257358206986365	0.695559189440317	-5.66664733885924	0.555689548440292
13504477	AT5G22470	-0.238730751278926	1.57495573581916	-1.19194700128128	0.257378695244084	0.695559189440317	-5.66670800801854	0.555689548440292
13340894	AT1G16560	-0.173076983741947	7.89969900562625	-1.19176868526269	0.257445916035128	0.695589924112679	-5.66690701832704	0.555714102693137
13483866	AT4G13195	0.281840933112358	5.50802944653487	1.19172538282099	0.257462242085335	0.695589924112679	-5.66695534272042	0.555714102693137
13513410	AT5G51160	0.231052507517894	1.23380590935652	1.19167596252124	0.257480875709401	0.695589924112679	-5.66701049282623	0.555714102693137
13349731	AT1G48800	0.220874489929645	1.08947169014722	1.19165699362146	0.257488028099873	0.695589924112679	-5.66703166051741	0.555714102693137
13544833	trnC	-0.170361480782832	12.6560164088134	-1.19132941002627	0.257611571049793	0.695857484786235	-5.66739717509938	0.555927859727946
13427024	AT3G11930	0.190879058004715	7.78740278247998	1.19116272253328	0.257674452498987	0.695893558625612	-5.66758313357569	0.555956679497446
13459788	AT3G54210	-0.167770905198759	9.27673985764609	-1.1911589869579	0.257675861851648	0.695893558625612	-5.66758730079605	0.555956679497446
13517186	AT5G59730	0.173346666601168	4.48543260680502	1.19107327694308	0.257708200072979	0.695893558625612	-5.66768291181209	0.555956679497446
13479016	AT4G38092	0.36376506069549	1.71457033067331	1.19103424269831	0.257722928675943	0.695893558625612	-5.66772645343101	0.555956679497446
13387400	AT1G74820	-0.214159005909019	1.33247275812873	-1.19093458326817	0.257760535692202	0.695928944416884	-5.6678376157639	0.555984949578083
13528758	AT5G20520	0.223527025876777	5.04866015599343	1.19085562856385	0.257790332736095	0.695943239302663	-5.66792567848477	0.555996369912605
13399746	AT2G32295	0.207054656099844	5.92866799558014	1.19075348669631	0.257828884501696	0.695950967689587	-5.66803959648824	0.556002544202163
13533678	AT5G39865	-0.221224895523207	3.50674360290494	-1.19071820797166	0.257842200929392	0.695950967689587	-5.66807894081175	0.556002544202163
13349747	AT1G48840	0.342265915098343	5.23065402804685	1.19054554224939	0.257907383728996	0.696032870268089	-5.66827149192258	0.556067977033121
13453091	AT3G24090	0.39670724233308	3.73421423179228	1.19050800479259	0.257921556158562	0.696032870268089	-5.66831334959891	0.556067977033121
13444398	AT3G04150	-0.180953106288835	1.06323969433454	-1.19042286589313	0.257953702990506	0.696053489078411	-5.66840828343025	0.556084449617441
13388767	AT1G77810	-0.22527276531926	3.73316617308707	-1.19022772377945	0.258027396842332	0.696090292190798	-5.66862585616218	0.556113852010816
13531603	AT5G27860	-0.1783421068485	5.46736083249063	-1.1902035987219	0.258036508627009	0.696090292190798	-5.66865275236058	0.556113852010816
13516335	AT5G57860	-0.218709813914687	4.31086790773453	-1.19019206489009	0.258040864925427	0.696090292190798	-5.6686656108848	0.556113852010816
