probeset_id	transcript_id
13336379	AT1G05930
13336382	AT1G05980;AT4G03285;AT4G11405;AT5G63145;AT3G59415;AT1G63790;AT3G48275;AT2G43300
13336384	AT1G05990
13336387	AT1G06000
13336389	AT1G06010
13336394	AT1G06020
13336399	AT1G06030
13336404	AT1G06060
13336414	AT1G06080
13336422	AT1G06090
13336428	AT1G06100
13336434	AT1G06120
13336439	AT1G06135
13336443	AT1G06140
13336445	AT1G06160
13336448	AT1G06180
13336454	AT1G06210
13336462	AT1G06220
13336474	AT1G06225
13336476	AT1G06230
13336488	AT1G06240
13336498	AT1G06260
13336501	AT1G06290
13336515	AT1G06310
13336529	AT1G06320
13336534	AT1G06380
13336537	AT1G06390
13336555	AT1G06410
13336562	AT1G06420
13336567	AT1G06450
13336571	AT1G06470
13336586	AT1G06480;AT1G68860;AT1G13240;AT2G17810;AT3G02315;AT4G39985;AT5G38905;AT5G56365;AT5G66568
13336588	AT1G06490
13336626	AT1G06500
13336634	AT1G06510
13336641	AT1G06530
13336644	AT1G06560
13336657	AT1G06620
13336662	AT1G06630
13336673	AT1G06640
13336681	AT1G06645
13336687	AT1G06650
13336694	AT1G06670
13336710	AT1G06680
13336719	AT1G06730
13336727	AT1G06750
13336740	AT1G06780
13336755	AT1G06790;AT1G06800
13336767	AT1G06830
13336771	AT1G06850
13336779	AT1G06870
13336787	AT1G06910
13336795	AT1G06923;AT1G06925
13336800	AT1G06930
13336804	AT1G06960
13336813	AT1G06970
13336817	AT1G06990
13336822	AT1G07010
13336838	ath-MIR847
13336840	AT1G07070
13336846	AT1G07080
13336854	AT1G53220;AT1G07100;AT3G05835;AT3G15055;AT4G36635
13336856	AT1G07119
13336862	AT1G07130
13336866	AT1G07170
13336876	AT1G07175
13336879	AT1G07180
13336890	AT1G07190
13336892	AT1G07210
13336900	AT1G07240
13336904	AT1G07250
13336908	AT1G07280
13336915	AT1G07320
13336921	AT1G07330
13336926	AT1G07340
13336933	AT1G07370
13336940	AT1G07390
13336955	AT1G07400
13336959	AT1G07410
13336964	AT1G07420
13336976	AT1G07460
13336978	AT1G07470
13336987	AT1G07476
13336991	AT1G07485;AT1G07490
13336996	AT1G07510
13337007	AT1G07560
13337021	AT1G07610
13337025	AT1G07630
13337032	AT1G07660
13337036	AT1G07680
13337042	AT1G07690
13337048	AT1G07700
13337060	AT1G07705
13337077	AT1G07725;AT1G07728
13337081	AT1G07747
13337083	AT1G07790
13337087	AT1G07795
13337091	AT1G07810
13337101	AT1G07830
13337108	AT1G07840
13337122	AT1G07850
13337127	AT1G07890
13337142	AT1G07900
13337145	AT1G07910
13337173	AT1G07920
13337178	AT1G07930
13337184	AT1G07960
13337192	AT1G07985
13337196	AT1G07990
13337213	AT1G08005
13337215	AT1G08032
13337217	AT1G08035
13337220	AT1G08090
13337226	AT1G08110
13337238	AT1G08120
13337242	AT1G08190
13337264	AT1G08240;AT1G12590;AT2G27850;AT2G29030;AT3G44955;AT3G46585;AT4G18815;AT5G45745;AT5G59385;AT5G59395;AT5G11225;AT5G11325
13337266	AT1G08260
13337295	AT1G08280
13337298	AT1G08300
13337305	AT1G08310;AT1G08315
13337313	AT1G08340
13337320	AT1G08360
13337327	AT1G08370
13337337	AT1G08390
13337342	AT1G08410
13337351	AT1G08420
13337375	AT1G08430
13337383	AT1G08440
13337390	AT1G08460
13337396	AT1G08465
13337405	AT1G08480
13337411	AT1G08500
13337416	AT1G08520
13337434	AT1G08530
13337442	AT1G08540
13337452	AT1G08550
13337461	AT1G08570
13337474	AT1G08590
13337478	AT1G08600
13337507	AT1G08620
13337524	AT1G08650
13337531	AT1G08680
13337549	AT1G08710
13337559	AT1G08720
13337574	AT1G08730
13337601	AT1G08750
13337615	AT1G08760
13337622	AT1G08770
13337626	AT1G08790
13337629	AT1G08830
13337639	AT1G08845
13337645	AT1G08860
13337662	AT1G08890
13337678	AT1G08900
13337695	AT1G08910
13337711	AT1G08920
13337731	AT1G08930
13337751	AT1G08940
13337755	AT1G68760
13337757	AT1G08960
13337762	AT1G08970
13337770	AT1G08980
13337782	AT1G08985
13337786	AT1G08990
13337791	AT1G09000
13337808	AT1G09026
13337810	AT1G09040
13337815	AT1G09050
13337819	AT1G09070
13337823	AT1G09090
13337838	AT5G45720;AT3G05520
13337840	AT1G09150
13337850	AT1G09176
13337852	AT1G09180
13337858	AT1G09240
13337862	AT1G09250
13337866	AT1G09260
13337868	AT1G09270
13337883	AT1G09300
13337901	AT1G09310
13337905	AT1G09340
13337918	AT1G09350
13337925	AT1G09360
13337927	AT1G09370
13337929	AT1G09390
13337937	AT1G09410
13337939	AT1G09421
13337943	AT1G09430
13337958	AT1G09450
13337975	AT1G09460
13337980	AT1G09480
13337987	AT1G09490
13337996	AT1G09500
13338006	AT1G09510
13338013	AT1G09530
13338024	AT1G09540
13338030	AT1G09560
13338035	AT1G09580
13338042	AT1G09590
13338047	AT1G09600
13338055	AT1G09610;AT1G09620
13338059	AT1G09640
13338072	AT1G09645
13338077	AT1G09650
13338081	AT1G09665
13338084	AT1G09710
13338096	AT1G09740
13338103	AT1G09750
13338108	AT1G09770
13338115	AT1G09794
13338120	AT1G09795
13338134	AT1G09812
13338137	AT1G09815
13338142	AT1G09850;AT1G09860
13338150	AT1G09870
13338164	AT1G09900
13338166	AT1G09960
13338174	AT1G09970
13338181	AT1G10010
13338188	AT1G10030
13338194	AT1G10050
13338203	AT1G10060
13338220	AT1G10070
13338235	AT1G10110
13338239	AT1G10130
13338269	AT1G10150
13338273	AT1G10210
13338279	AT1G10220
13338284	AT1G10230
13338288	AT1G10270
13338291	AT1G10290
13338311	AT1G10300
13338314	AT1G10330
13338316	AT1G10380
13338322	AT1G10385
13338328	AT1G10450
13338346	AT1G10455
13338348	AT1G10480
13338352	AT1G10490
13338378	AT1G10510
13338398	AT1G10520
13338413	AT1G10522
13338422	AT1G10560
13338426	AT1G10570
13338442	AT1G10588
13338448	AT1G10600
13338459	AT1G10610
13338470	AT1G10652
13338472	AT1G10657
13338483	AT1G10660
13338495	AT1G10670
13338511	AT1G10700
13338521	AT1G10710
13338534	AT1G10717
13338537	AT1G10720
13338542	AT1G10730
13338554	AT1G10745
13338557	AT1G10747
13338561	AT1G10790
13338565	AT1G10810
13338573	AT1G10850
13338578	AT1G10890
13338586	AT1G10910
13338598	AT1G10950
13338612	AT1G10960
13338616	AT1G32620;AT1G04720;AT1G78250;AT1G11010;AT1G22320;AT2G33140;AT2G35220;AT5G48835;AT5G65305
13338618	AT1G11020
13338624	AT1G11050
13338627	AT1G11060
13338640	AT1G11090
13338644	AT1G11110
13338652	AT1G11120
13338657	AT1G11125
13338661	AT1G11130
13338680	AT1G11160
13338697	AT1G11170
13338716	AT1G11175
13338718	AT1G11180
13338733	AT1G11185
13338735	AT1G11200
13338741	AT1G11250
13338744	AT1G11260
13338751	AT1G11300
13338767	AT1G11320
13338773	AT1G11330
13338784	AT1G11380
13338792	AT1G11400
13338801	AT1G11410
13338809	AT1G11430
